# Monocular camera trajectory (Relative arbitrary units, NOT metric meters)
# frame_idx tx ty tz qx qy qz qw
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
8 -0.817640 0.526078 0.233894 0.008832 -0.014591 0.000624 0.999854
14 -1.684365 0.399453 0.716340 0.004354 -0.026496 0.002050 0.999637
18 -2.401814 0.501953 1.405369 0.003209 -0.036041 0.005036 0.999332
24 -3.247200 1.032219 1.341030 0.010305 -0.051347 0.002600 0.998624
28 -2.722193 1.085316 2.190470 0.008778 -0.071934 0.006665 0.997348
32 -3.657673 1.120675 2.542077 0.008005 -0.080987 0.008963 0.996643
34 -3.339021 0.460334 3.222085 0.002043 -0.093663 0.008169 0.995568
38 -4.317894 0.255934 3.227266 0.000340 -0.100341 0.007409 0.994925
44 -5.068722 0.908443 3.329682 0.006722 -0.118529 0.008141 0.992894
46 -6.060282 0.874095 3.204664 0.006725 -0.120950 0.007797 0.992605
50 -7.013219 0.725509 3.468923 0.004584 -0.129385 0.009721 0.991536
54 -7.945874 0.740145 3.829396 0.003735 -0.139337 0.011951 0.990166
56 -8.865281 0.351154 3.887499 0.000024 -0.140403 0.011481 0.990028
60 -8.744272 0.240427 4.873956 -0.000783 -0.162776 0.012556 0.986583
64 -9.569436 0.721219 4.577404 0.005497 -0.173730 0.013088 0.984691
66 -9.019157 1.252446 5.221602 0.007954 -0.189829 0.020405 0.981573
70 -10.016265 1.313091 5.175795 0.009133 -0.200992 0.021849 0.979307
76 -10.984223 1.082308 5.076818 0.005676 -0.212392 0.025329 0.976840
78 -11.769169 0.856809 5.653888 0.003764 -0.218870 0.026647 0.975383
84 -11.226948 0.898841 6.493071 0.001967 -0.261285 0.036713 0.964561
86 -12.041900 0.803173 7.064649 0.001453 -0.268290 0.037907 0.962591
90 -12.806574 1.414331 6.860298 0.009208 -0.278874 0.038781 0.959500
92 -12.042173 1.302159 6.225390 0.009948 -0.285762 0.039307 0.957442
94 -11.485833 1.268312 5.395125 0.009904 -0.292823 0.040055 0.955276
100 -12.473545 1.268068 5.551407 0.009934 -0.307004 0.044669 0.950608
102 -11.956107 1.767135 6.246525 0.011591 -0.321376 0.053475 0.945370
110 -12.890232 1.756219 5.889745 0.013788 -0.336926 0.057333 0.939683
114 -13.717639 1.914971 5.351048 0.019669 -0.337817 0.056815 0.939290
116 -14.583297 1.760242 4.874923 0.019980 -0.336884 0.054410 0.939761
118 -15.398276 2.028766 5.388446 0.020588 -0.344375 0.056466 0.936906
124 -16.372977 2.113253 5.595374 0.021219 -0.363763 0.063107 0.929109
128 -17.279727 1.810106 5.888471 0.018280 -0.374877 0.067332 0.924446
132 -18.033015 2.063354 6.495449 0.020902 -0.390098 0.069288 0.917925
134 -18.833002 2.319519 7.038036 0.021966 -0.397073 0.070778 0.914790
138 -19.717046 2.471355 7.480091 0.022399 -0.408799 0.073911 0.909351
