# Monocular camera trajectory (Relative arbitrary units, NOT metric meters)
# frame_idx tx ty tz qx qy qz qw
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
4 0.679192 0.443390 0.584897 -0.007044 -0.001251 -0.005858 0.999957
6 0.629557 -0.505427 0.896799 -0.016422 0.003751 0.002700 0.999854
8 0.727016 -1.488339 1.052957 -0.032171 0.005204 0.011039 0.999408
10 0.905125 -2.438823 1.307629 -0.045151 0.006680 0.022943 0.998694
12 1.020737 -3.359175 1.681240 -0.063148 0.011735 0.033786 0.997363
14 1.062886 -4.358175 1.666278 -0.070320 0.009772 0.045271 0.996449
16 0.910386 -5.346245 1.644819 -0.077582 0.010196 0.055565 0.995384
20 0.839384 -6.313906 1.886873 -0.123888 0.018717 0.066157 0.989911
22 0.944735 -7.273325 2.148439 -0.175882 0.013249 0.088610 0.980326
24 0.713386 -8.246133 2.137382 -0.167094 0.016576 0.096607 0.981057
28 0.582137 -8.246699 1.146033 -0.111920 0.004199 0.111378 0.987447
30 0.301803 -8.394011 0.197501 -0.080065 0.002358 0.118317 0.989740
32 0.245109 -9.373002 0.393366 -0.088246 0.001377 0.125849 0.988116
34 -0.134911 -10.257981 0.662434 -0.107070 0.011137 0.131694 0.985428
36 -0.832315 -10.934384 0.899300 -0.120460 0.024946 0.127697 0.984155
38 -1.005542 -11.278156 -0.023637 -0.121695 0.016679 0.125545 0.984455
42 -1.172499 -12.237457 0.204103 -0.142623 0.011359 0.127308 0.981490
44 -1.470056 -12.856290 0.931087 -0.175273 0.024027 0.130261 0.975569
46 -1.456244 -13.316783 1.818643 -0.192456 0.040623 0.139896 0.970433
48 -1.470991 -13.849716 2.664672 -0.219250 0.055154 0.151424 0.962267
50 -1.367586 -13.027337 3.224136 -0.226871 0.057125 0.164259 0.958272
52 -1.529040 -12.071294 2.979361 -0.225499 0.058035 0.167980 0.957896
54 -0.762211 -12.065155 3.621182 -0.238285 0.047948 0.168715 0.955226
56 -0.416184 -12.861324 4.117550 -0.254480 0.046587 0.187339 0.947615
58 -0.198587 -13.618884 4.732981 -0.284782 0.053438 0.205842 0.934705
60 -0.496923 -14.060154 3.886649 -0.259781 0.053186 0.200909 0.943038
62 -0.024704 -14.770704 4.408307 -0.257219 0.062617 0.222217 0.938369
66 -0.269324 -14.827660 3.440363 -0.194365 0.077153 0.218630 0.953137
68 -0.479208 -14.273153 2.635085 -0.131419 0.082784 0.211301 0.965001
70 -1.035848 -13.713059 2.021534 -0.084354 0.088602 0.187797 0.974560
80 -0.812617 -13.550699 2.982683 -0.035811 0.111511 0.179616 0.976740
